26	14
26	11
27	13
27	4
26	14
23	4
23	4
23	4
23	4
21	11
23	4
26	14
26	12
26	12
26	12
26	12
24	4
26	12
20	13
20	13
26	12
26	14
24	12
24	14
27	13
20	13
26	12
26	12
26	12
26	12
26	12
26	12
20	13
20	1
20	1
20	13
24	14
27	7
20	7
20	13
27	13
27	4
27	13
27	13
27	13
24	14
27	13
25	9
24	14
24	13
27	13
27	13
27	13
27	13
27	13
27	13
27	13
27	13
27	13
27	13
27	13
27	13
27	13
27	13
26	11
27	13
27	12
27	13
27	13
27	13
27	12
27	13
27	13
28	12
28	12
27	13
27	13
27	13
27	13
27	13
27	11
27	13
28	12
28	12
28	14
26	14
28	12
28	12
26	11
26	11
26	11
26	11
